Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scotland,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,*,*,4.9,*,*,0.2,*,*,5.1,*,*,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,231,-,1.8,1.8,-,0.1,0.1,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,232,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,233,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,234,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,235,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,236,*,*,1.7,*,*,0.1,*,*,1.8,*,*,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,237,-,0.4,0.4,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,239,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,-,2.1,2.1,-,0.2,0.2,-,2.3,2.3,-,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,241,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,242,-,0.7,0.7,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,243,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,244,-,0.4,0.4,-,0.1,0.1,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,245,-,0.7,0.7,-,0.1,0.1,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,-,18.7,18.7,-,1.1,1.1,-,19.8,19.8,-,20.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,251,-,6.0,6.0,-,0.4,0.4,-,6.4,6.4,-,6.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,252,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,253,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,254,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,255,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,256,-,7.9,7.9,-,0.4,0.4,-,8.3,8.3,-,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,257,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,259,-,2.6,2.6,-,0.2,0.2,-,2.8,2.8,-,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,-,10.1,10.1,-,0.5,0.5,-,10.6,10.6,-,10.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,261,-,2.4,2.4,-,0.1,0.1,-,2.5,2.5,-,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,262,-,0.8,0.8,-,-,-,-,0.8,0.8,-,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,263,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,264,-,0.5,0.5,-,-,-,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,-,4.9,4.9,-,0.2,0.2,-,5.1,5.1,-,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,266,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,267,-,0.9,0.9,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,268,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,-,4.5,4.5,-,0.2,0.2,-,4.7,4.7,-,4.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,271,-,1.6,1.6,-,0.1,0.1,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,273,-,1.2,1.2,-,-,-,-,1.3,1.3,-,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,274,-,0.8,0.8,-,-,-,-,0.9,0.9,-,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,275,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,279,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,*,*,12.0,*,*,0.4,*,*,12.4,*,*,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,281,-,3.9,3.9,-,0.1,0.1,-,4.0,4.0,-,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,282,-,3.9,3.9,-,0.1,0.1,-,4.0,4.0,-,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,283,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,284,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,289,*,*,3.9,*,*,0.1,*,*,4.0,*,*,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,-,2.3,2.3,-,0.5,0.5,-,2.8,2.8,-,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,291,-,*,*,-,*,*,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,292,-,*,*,-,*,*,-,1.2,1.2,-,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,293,-,1.0,1.0,-,-,-,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,*,*,8.6,*,*,0.1,*,*,8.7,*,*,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,301,-,6.2,6.2,-,0.1,0.1,-,6.3,6.3,-,6.3,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,302,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,303,*,*,2.2,*,*,-,*,*,2.2,*,*,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,304,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,309,-,*,*,-,*,*,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,-,1.6,1.6,-,0.2,0.2,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,310,-,1.6,1.6,-,0.2,0.2,-,1.8,1.8,-,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,-,5.4,5.4,-,1.0,1.0,-,6.3,6.3,-,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,321,-,0.3,0.3,-,0.1,0.1,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,322,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,323,-,0.3,0.3,-,0.1,0.1,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,324,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,325,-,2.9,2.9,-,0.4,0.4,-,3.3,3.3,-,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,329,-,1.7,1.7,-,0.4,0.4,-,2.1,2.1,-,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,*,*,11.2,*,*,0.3,*,*,11.5,*,*,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,331,*,*,9.4,*,*,0.2,*,*,9.6,*,*,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,332,-,1.8,1.8,-,-,-,-,1.8,1.8,-,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,-,17.0,17.0,-,2.0,2.0,-,19.0,19.0,-,19.1,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,351,-,12.1,12.1,-,1.2,1.2,-,13.3,13.3,-,13.4,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,352,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
,353,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,*,*,3.4,*,*,0.2,*,*,3.6,*,*,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,360,*,*,3.4,*,*,0.2,*,*,3.6,*,*,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,0.3,0.5,0.7,-,-,0.1,0.3,0.5,0.8,0.3,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,370,0.3,0.5,0.7,-,-,0.1,0.3,0.5,0.8,0.3,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,5.6,4.0,9.7,0.5,0.2,0.6,6.1,4.2,10.3,6.1,4.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,381,4.2,1.2,5.3,0.4,-,0.4,4.6,1.2,5.7,4.6,1.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,382,*,*,3.4,*,*,0.2,*,*,3.6,*,*,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,383,*,*,1.0,*,*,-,*,*,1.0,*,*,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,*,*,0.1,*,*,-,*,*,0.1,*,*,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,390,*,*,0.1,*,*,-,*,*,0.1,*,*,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,5.1,30.6,35.7,0.7,2.0,2.7,5.8,32.6,38.4,5.8,36.7,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,411,*,*,4.4,*,*,0.5,-,4.9,4.9,-,7.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,412,*,*,31.3,*,*,2.2,5.8,27.7,33.5,5.8,29.7,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,3.5,17.8,21.3,0.5,0.5,1.0,4.0,18.3,22.3,4.0,19.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,421,2.9,2.9,5.8,0.3,0.1,0.4,3.2,3.0,6.3,3.2,3.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,422,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,429,0.6,14.6,15.2,0.2,0.4,0.6,0.8,15.0,15.8,0.8,15.8,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,0.5,56.5,57.0,-,3.9,4.0,0.6,60.4,61.0,0.6,69.6,70.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,431,0.4,0.7,1.1,-,-,-,0.4,0.7,1.1,0.4,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,432,0.2,31.2,31.4,-,1.7,1.7,0.2,32.9,33.1,0.2,37.6,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,433,-,14.6,14.6,-,1.2,1.2,-,15.8,15.8,-,19.2,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,439,-,10.0,10.0,-,1.0,1.0,-,11.0,11.0,-,12.2,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,*,*,38.6,*,*,4.7,1.3,41.9,43.3,1.3,44.6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,451,-,14.6,14.6,-,1.5,1.5,-,16.1,16.1,-,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,452,*,*,17.1,*,*,2.0,1.3,17.8,19.1,1.3,19.4,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,453,-,6.6,6.6,-,1.1,1.1,-,7.6,7.6,-,7.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,454,-,0.3,0.3,-,0.1,0.1,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,*,*,60.8,*,*,8.4,*,*,69.2,*,*,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,461,-,3.1,3.1,-,1.2,1.2,-,4.3,4.3,-,5.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,462,-,1.4,1.4,-,0.7,0.7,-,2.1,2.1,-,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,463,-,16.0,16.0,-,1.5,1.5,-,17.5,17.5,-,17.7,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,464,*,*,11.1,*,*,2.6,*,*,13.7,*,*,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,465,-,2.7,2.7,-,0.1,0.1,-,2.8,2.8,-,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,466,*,*,7.6,*,*,0.4,*,*,7.9,*,*,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,467,-,17.9,17.9,-,1.5,1.5,-,19.4,19.4,-,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,469,-,1.0,1.0,-,0.5,0.5,-,1.5,1.5,-,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,0.2,93.3,93.5,0.1,141.7,141.8,0.3,235.0,235.3,0.3,247.0,247.4,,,,,,,,,,,,,,,,,,,,,,,,,,
,471,-,38.9,38.9,-,72.6,72.6,-,111.4,111.4,-,114.1,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,472,-,4.9,4.9,-,10.0,10.0,-,14.9,14.9,-,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,473,-,4.7,4.7,-,3.4,3.4,-,8.1,8.1,-,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,474,-,2.6,2.6,-,1.5,1.5,-,4.1,4.1,-,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,475,-,9.7,9.7,-,7.4,7.4,-,17.0,17.0,-,18.7,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,476,*,*,4.8,*,*,7.3,*,*,12.1,*,*,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,477,0.1,25.9,26.1,0.1,38.6,38.6,0.2,64.5,64.7,0.2,67.9,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,478,*,*,0.1,*,*,0.1,*,*,0.2,*,*,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,479,-,1.9,1.9,-,1.0,1.0,-,2.8,2.8,-,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,1.7,36.5,38.2,0.2,5.7,5.9,1.9,42.2,44.1,1.9,45.2,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,
