Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South East,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
36,,*,*,3.3,*,*,0.3,*,*,3.6,*,*,3.6,,,,,,,,,,,,,
,360,*,*,3.3,*,*,0.3,*,*,3.6,*,*,3.6,,,,,,,,,,,,,
37,,0.1,2.6,2.6,-,0.2,0.2,0.1,2.8,2.8,0.1,2.9,2.9,,,,,,,,,,,,,
,370,0.1,2.6,2.6,-,0.2,0.2,0.1,2.8,2.8,0.1,2.9,2.9,,,,,,,,,,,,,
38,,2.1,19.5,21.5,0.2,1.2,1.3,2.2,20.6,22.9,2.2,21.2,23.4,,,,,,,,,,,,,
,381,1.2,7.0,8.2,0.1,0.5,0.7,1.3,7.5,8.8,1.3,7.8,9.2,,,,,,,,,,,,,
,382,0.9,8.3,9.2,-,0.3,0.4,0.9,8.6,9.6,0.9,8.7,9.7,,,,,,,,,,,,,
,383,-,4.2,4.2,-,0.3,0.3,-,4.5,4.5,-,4.6,4.6,,,,,,,,,,,,,
39,,*,*,0.1,*,*,-,*,*,0.2,*,*,0.2,,,,,,,,,,,,,
,390,*,*,0.1,*,*,-,*,*,0.2,*,*,0.2,,,,,,,,,,,,,
41,,1.0,40.9,41.9,0.1,7.3,7.3,1.1,48.2,49.3,1.1,61.3,62.3,,,,,,,,,,,,,
,411,*,*,4.4,*,*,2.8,*,*,7.2,*,*,11.7,,,,,,,,,,,,,
,412,*,*,37.5,*,*,4.5,*,*,42.0,*,*,50.6,,,,,,,,,,,,,
42,,0.5,24.4,25.0,0.1,5.6,5.7,0.6,30.0,30.7,0.6,33.7,34.4,,,,,,,,,,,,,
,421,*,*,7.2,*,*,0.9,*,*,8.1,*,*,8.5,,,,,,,,,,,,,
