Table 5 - Regional level employment by 2 & 3 digit SIC2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wales,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,494,*,*,6.0,*,*,2.2,*,*,8.2,*,*,9.2,,,,,,,,,,,,,
,495,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
50,,-,0.8,0.8,-,0.3,0.3,-,1.1,1.1,-,1.2,1.2,,,,,,,,,,,,,
,501,-,*,*,-,*,*,-,*,*,-,1.0,1.0,,,,,,,,,,,,,
,502,-,0.1,0.1,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,503,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,504,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
51,,-,0.6,0.6,-,0.1,0.1,-,0.7,0.7,-,0.8,0.8,,,,,,,,,,,,,
,511,-,*,*,-,*,*,-,0.6,0.6,-,0.6,0.6,,,,,,,,,,,,,
,512,-,*,*,-,*,*,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
52,,1.0,8.9,9.9,0.2,0.8,0.9,1.2,9.7,10.8,1.2,10.2,11.4,,,,,,,,,,,,,
,521,*,*,5.1,*,*,0.5,*,*,5.6,*,*,5.8,,,,,,,,,,,,,
,522,*,*,4.8,*,*,0.4,*,*,5.2,*,*,5.6,,,,,,,,,,,,,
53,,*,*,7.4,*,*,1.3,*,*,8.7,*,*,9.0,,,,,,,,,,,,,
,531,*,*,5.8,*,*,1.0,*,*,6.8,*,*,6.8,,,,,,,,,,,,,
,532,*,*,1.6,*,*,0.2,*,*,1.9,*,*,2.2,,,,,,,,,,,,,
55,,*,*,10.5,*,*,10.2,*,*,20.7,*,*,22.4,,,,,,,,,,,,,
,551,-,7.6,7.6,-,7.9,7.9,-,15.5,15.5,-,16.6,16.6,,,,,,,,,,,,,
,552,-,1.3,1.3,-,1.1,1.1,-,2.4,2.4,-,2.6,2.6,,,,,,,,,,,,,
,553,*,*,1.5,*,*,1.2,*,*,2.7,*,*,3.0,,,,,,,,,,,,,
,559,-,0.1,0.1,-,0.1,0.1,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
56,,*,*,19.0,*,*,43.9,*,*,62.8,*,*,67.2,,,,,,,,,,,,,
,561,-,9.8,9.8,-,17.0,17.0,-,26.8,26.8,-,29.2,29.2,,,,,,,,,,,,,
,562,*,*,1.6,*,*,5.4,*,*,7.0,*,*,7.2,,,,,,,,,,,,,
,563,-,7.5,7.5,-,21.4,21.4,-,29.0,29.0,-,30.8,30.8,,,,,,,,,,,,,
58,,*,*,2.4,*,*,1.1,*,*,3.5,*,*,3.7,,,,,,,,,,,,,
,581,*,*,2.2,*,*,1.1,*,*,3.3,*,*,3.4,,,,,,,,,,,,,
,582,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
59,,0.2,1.1,1.4,-,0.7,0.7,0.3,1.8,2.1,0.3,2.3,2.6,,,,,,,,,,,,,
,591,0.2,1.1,1.4,-,0.7,0.7,0.3,1.8,2.1,0.3,2.3,2.5,,,,,,,,,,,,,
,592,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
60,,*,*,0.5,*,*,0.1,*,*,0.6,*,*,0.6,,,,,,,,,,,,,
,601,-,*,*,-,*,*,-,*,*,-,0.2,0.2,,,,,,,,,,,,,
,602,*,*,*,*,*,*,*,*,*,*,*,0.4,,,,,,,,,,,,,
61,,-,5.9,5.9,-,0.6,0.6,-,6.5,6.5,-,6.6,6.6,,,,,,,,,,,,,
,611,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,612,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
