Table 5 - Regional level employment by 2 & 3 digit SIC 2007 (Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South West,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,431,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,432,*,*,24.8,*,*,2.4,*,*,27.3,*,*,32.7,,,,,,,,,,,,,
,433,*,*,10.9,*,*,0.9,*,*,11.8,*,*,17.0,,,,,,,,,,,,,
,439,-,*,*,-,*,*,-,8.6,8.6,-,10.1,10.1,,,,,,,,,,,,,
45,,0.2,35.9,36.1,-,6.9,6.9,0.2,42.8,43.0,0.2,49.2,49.5,,,,,,,,,,,,,
,451,-,13.1,13.1,-,3.3,3.3,-,16.3,16.3,-,17.4,17.4,,,,,,,,,,,,,
,452,0.2,14.6,14.9,-,2.0,2.0,0.2,16.6,16.8,0.2,20.7,20.9,,,,,,,,,,,,,
,453,-,7.5,7.5,-,1.4,1.4,-,8.9,8.9,-,10.0,10.0,,,,,,,,,,,,,
,454,-,0.7,0.7,-,0.3,0.3,-,1.0,1.0,-,1.1,1.1,,,,,,,,,,,,,
46,,*,*,80.5,*,*,13.4,*,*,93.9,*,*,102.5,,,,,,,,,,,,,
,461,-,2.5,2.5,-,0.9,0.9,-,3.5,3.5,-,4.2,4.2,,,,,,,,,,,,,
,462,-,1.5,1.5,-,0.5,0.5,-,2.0,2.0,-,2.0,2.0,,,,,,,,,,,,,
,463,-,20.2,20.2,-,3.6,3.6,-,23.8,23.8,-,26.1,26.1,,,,,,,,,,,,,
,464,*,*,15.4,*,*,3.4,*,*,18.7,*,*,20.4,,,,,,,,,,,,,
,465,-,2.3,2.3,-,0.1,0.1,-,2.4,2.4,-,2.9,2.9,,,,,,,,,,,,,
,466,-,12.8,12.8,-,1.6,1.6,-,14.4,14.4,-,15.1,15.1,,,,,,,,,,,,,
,467,-,19.7,19.7,-,2.1,2.1,-,21.8,21.8,-,24.0,24.0,,,,,,,,,,,,,
,469,-,6.1,6.1,-,1.2,1.2,-,7.2,7.2,-,7.7,7.7,,,,,,,,,,,,,
47,,*,*,108.7,*,*,143.8,0.1,252.4,252.5,0.1,270.1,270.2,,,,,,,,,,,,,
,471,-,40.6,40.6,-,77.5,77.5,-,118.1,118.1,-,120.1,120.1,,,,,,,,,,,,,
,472,-,3.0,3.0,-,5.5,5.5,-,8.5,8.5,-,10.7,10.7,,,,,,,,,,,,,
,473,-,2.0,2.0,-,1.1,1.1,-,3.2,3.2,-,3.8,3.8,,,,,,,,,,,,,
,474,-,2.1,2.1,-,1.1,1.1,-,3.2,3.2,-,3.9,3.9,,,,,,,,,,,,,
,475,-,16.5,16.5,-,7.8,7.8,-,24.3,24.3,-,26.1,26.1,,,,,,,,,,,,,
,476,-,5.2,5.2,-,7.2,7.2,-,12.3,12.3,-,14.3,14.3,,,,,,,,,,,,,
,477,*,*,35.4,*,*,42.8,*,*,78.2,*,*,85.0,,,,,,,,,,,,,
,478,*,*,0.2,*,*,0.2,*,*,0.4,*,*,0.5,,,,,,,,,,,,,
,479,-,3.7,3.7,-,0.7,0.7,-,4.4,4.4,-,5.8,5.8,,,,,,,,,,,,,
49,,2.1,35.0,37.1,0.7,12.0,12.7,2.8,47.0,49.8,2.8,51.5,54.2,,,,,,,,,,,,,
,491,-,3.2,3.2,-,0.2,0.2,-,3.4,3.4,-,3.4,3.4,,,,,,,,,,,,,
,492,-,*,*,-,*,*,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,493,*,*,*,*,*,*,*,*,20.5,*,*,22.3,,,,,,,,,,,,,
,494,*,*,18.7,*,*,7.0,*,*,25.7,*,*,28.3,,,,,,,,,,,,,
,495,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
50,,*,*,0.6,*,*,0.1,*,*,0.7,*,*,1.4,,,,,,,,,,,,,
