Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Yorkshire and The Humber ,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
,282,-,6.2,6.2,-,0.3,0.3,-,6.5,6.5,-,6.6,6.6,,,,,,,,,,,,,
,283,-,0.2,0.2,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,284,-,1.6,1.6,-,0.1,0.1,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,289,-,3.3,3.3,-,0.1,0.1,-,3.5,3.5,-,3.6,3.6,,,,,,,,,,,,,
29,,*,*,8.4,*,*,0.3,*,*,8.7,*,*,8.7,,,,,,,,,,,,,
,291,*,*,1.0,*,*,-,*,*,1.0,*,*,1.1,,,,,,,,,,,,,
,292,-,4.1,4.1,-,0.1,0.1,-,4.2,4.2,-,4.2,4.2,,,,,,,,,,,,,
,293,-,3.4,3.4,-,0.1,0.1,-,3.4,3.4,-,3.4,3.4,,,,,,,,,,,,,
30,,-,2.0,2.0,-,0.1,0.1,-,2.1,2.1,-,2.1,2.1,,,,,,,,,,,,,
,301,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,302,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,303,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,304,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,309,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
31,,*,*,9.0,*,*,0.6,*,*,9.6,*,*,9.6,,,,,,,,,,,,,
,310,*,*,9.0,*,*,0.6,*,*,9.6,*,*,9.6,,,,,,,,,,,,,
32,,-,7.8,7.8,-,0.4,0.4,-,8.2,8.2,-,8.7,8.7,,,,,,,,,,,,,
,321,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
,322,-,-,-,-,-,-,-,-,-,-,0.1,0.1,,,,,,,,,,,,,
,323,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
,324,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
,325,-,4.9,4.9,-,0.3,0.3,-,5.2,5.2,-,5.4,5.4,,,,,,,,,,,,,
,329,-,1.9,1.9,-,-,-,-,1.9,1.9,-,2.2,2.2,,,,,,,,,,,,,
33,,*,*,9.7,*,*,0.4,*,*,10.1,*,*,11.1,,,,,,,,,,,,,
,331,*,*,8.4,*,*,0.3,*,*,8.8,*,*,9.7,,,,,,,,,,,,,
,332,-,1.2,1.2,-,0.1,0.1,-,1.3,1.3,-,1.5,1.5,,,,,,,,,,,,,
35,,*,*,10.3,*,*,0.9,*,*,11.1,*,*,11.1,,,,,,,,,,,,,
,351,*,*,5.9,*,*,0.3,*,*,6.2,*,*,6.2,,,,,,,,,,,,,
,352,-,4.3,4.3,-,0.6,0.6,-,4.9,4.9,-,4.9,4.9,,,,,,,,,,,,,
,353,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
36,,-,2.6,2.6,-,0.1,0.1,-,2.8,2.8,-,2.8,2.8,,,,,,,,,,,,,
,360,-,2.6,2.6,-,0.1,0.1,-,2.8,2.8,-,2.8,2.8,,,,,,,,,,,,,
37,,0.3,0.9,1.1,-,0.1,0.1,0.3,0.9,1.2,0.3,1.1,1.5,,,,,,,,,,,,,
,370,0.3,0.9,1.1,-,0.1,0.1,0.3,0.9,1.2,0.3,1.1,1.5,,,,,,,,,,,,,
38,,1.2,5.5,6.8,0.2,0.2,0.4,1.4,5.8,7.2,1.4,5.8,7.2,,,,,,,,,,,,,
,381,*,*,3.0,*,*,0.2,1.1,2.1,3.2,1.1,2.1,3.2,,,,,,,,,,,,,
,382,*,*,2.1,*,*,0.2,0.3,2.0,2.3,0.3,2.0,2.3,,,,,,,,,,,,,
,383,-,1.7,1.7,-,-,-,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
39,,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,390,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
41,,0.9,18.3,19.2,0.2,2.2,2.4,1.1,20.5,21.6,1.1,26.5,27.6,,,,,,,,,,,,,
,411,-,2.3,2.3,-,1.1,1.1,-,3.3,3.3,-,5.9,5.9,,,,,,,,,,,,,
,412,0.9,16.0,16.9,0.2,1.2,1.4,1.1,17.2,18.3,1.1,20.6,21.7,,,,,,,,,,,,,
42,,*,*,15.6,*,*,0.8,2.0,14.4,16.4,2.0,14.9,16.9,,,,,,,,,,,,,
,421,*,*,3.9,*,*,0.3,*,*,4.3,*,*,4.3,,,,,,,,,,,,,
,422,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.6,0.6,,,,,,,,,,,,,
,429,*,*,11.1,*,*,0.5,*,*,11.6,*,*,12.1,,,,,,,,,,,,,
43,,*,*,54.1,*,*,6.4,0.1,60.4,60.5,0.1,69.3,69.4,,,,,,,,,,,,,
,431,*,*,0.8,*,*,-,*,*,0.8,*,*,1.1,,,,,,,,,,,,,
,432,*,*,23.6,*,*,3.2,*,*,26.9,*,*,30.9,,,,,,,,,,,,,
,433,*,*,14.6,*,*,1.9,*,*,16.5,*,*,20.2,,,,,,,,,,,,,
,439,-,15.0,15.0,-,1.3,1.3,-,16.3,16.3,-,17.2,17.2,,,,,,,,,,,,,
45,,0.3,29.2,29.5,-,4.5,4.6,0.3,33.7,34.0,0.3,38.3,38.6,,,,,,,,,,,,,
,451,-,11.4,11.4,-,1.2,1.2,-,12.6,12.6,-,14.1,14.1,,,,,,,,,,,,,
,452,0.3,11.2,11.5,-,1.6,1.6,0.3,12.8,13.1,0.3,15.5,15.8,,,,,,,,,,,,,
,453,-,6.3,6.3,-,1.7,1.7,-,7.9,7.9,-,8.3,8.3,,,,,,,,,,,,,
,454,-,0.3,0.3,-,0.1,0.1,-,0.3,0.3,-,0.5,0.5,,,,,,,,,,,,,
46,,0.5,83.4,83.9,-,12.5,12.5,0.5,95.9,96.4,0.5,100.4,100.9,,,,,,,,,,,,,
,461,-,2.5,2.5,-,0.9,0.9,-,3.4,3.4,-,4.0,4.0,,,,,,,,,,,,,
,462,-,4.4,4.4,-,0.8,0.8,-,5.2,5.2,-,5.3,5.3,,,,,,,,,,,,,
,463,*,*,13.0,*,*,2.1,*,*,15.1,*,*,15.6,,,,,,,,,,,,,
,464,*,*,17.9,*,*,3.5,*,*,21.3,*,*,22.1,,,,,,,,,,,,,
,465,-,4.3,4.3,-,0.5,0.5,-,4.8,4.8,-,4.8,4.8,,,,,,,,,,,,,
,466,-,16.4,16.4,-,1.5,1.5,-,18.0,18.0,-,19.3,19.3,,,,,,,,,,,,,
,467,*,*,22.5,*,*,2.5,*,*,25.0,*,*,25.9,,,,,,,,,,,,,
,469,*,*,2.9,*,*,0.7,*,*,3.6,*,*,3.8,,,,,,,,,,,,,
47,,0.1,94.2,94.4,0.2,128.6,128.8,0.3,222.9,223.2,0.3,236.0,236.3,,,,,,,,,,,,,
,471,-,36.8,36.8,-,68.1,68.1,-,104.9,104.9,-,107.6,107.6,,,,,,,,,,,,,
,472,-,7.6,7.6,-,10.2,10.2,-,17.9,17.9,-,21.1,21.1,,,,,,,,,,,,,
,473,-,1.1,1.1,-,1.7,1.7,-,2.8,2.8,-,3.0,3.0,,,,,,,,,,,,,
,474,-,1.3,1.3,-,0.9,0.9,-,2.2,2.2,-,2.2,2.2,,,,,,,,,,,,,
,475,-,14.1,14.1,-,8.1,8.1,-,22.2,22.2,-,24.3,24.3,,,,,,,,,,,,,
,476,*,*,5.7,*,*,5.3,*,*,11.0,*,*,11.4,,,,,,,,,,,,,
,477,0.1,22.3,22.4,0.2,32.5,32.7,0.3,54.8,55.1,0.3,58.7,59.0,,,,,,,,,,,,,
,478,*,*,0.1,*,*,0.1,*,*,0.3,*,*,0.4,,,,,,,,,,,,,
,479,-,5.1,5.1,-,1.6,1.6,-,6.7,6.7,-,7.3,7.3,,,,,,,,,,,,,
49,,1.8,36.1,37.9,0.5,3.2,3.7,2.3,39.3,41.5,2.3,41.2,43.5,,,,,,,,,,,,,
,491,*,*,6.0,*,*,0.2,*,*,6.1,*,*,6.1,,,,,,,,,,,,,
,492,*,*,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,
,493,1.0,11.8,12.7,0.4,1.4,1.8,1.4,13.2,14.6,1.4,13.7,15.1,,,,,,,,,,,,,
,494,*,*,17.9,*,*,1.7,*,*,19.6,*,*,21.0,,,,,,,,,,,,,
,495,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
50,,*,*,0.5,*,*,0.1,*,*,0.6,*,*,0.6,,,,,,,,,,,,,
,501,*,*,0.2,*,*,-,*,*,0.2,*,*,0.2,,,,,,,,,,,,,
