Table 5 - Regional level employment by 2 & 3 digit SIC 2007(Public/Private Split),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North East,,,,,,,,,Reference year 2010 Thousands ,,,,,,,,,,,,,,,
2 SIC,3 SIC,Full time employees,,,Part time employees,,,Total employees,,,Total employment,,,,,,,,,,,,,,,
,,Public,Private,All,Public,Private,All,Public,Private,All,Public,Private,All,,,,,,,,,,,,,
01*,,-,2.3,2.3,-,0.9,0.9,-,3.2,3.2,-,10.7,10.7,,,,,,,,,,,,,
,293,-,4.9,4.9,-,0.1,0.1,-,5.0,5.0,-,5.0,5.0,,,,,,,,,,,,,
30,,-,4.4,4.4,-,0.1,0.1,-,4.5,4.5,-,4.5,4.5,,,,,,,,,,,,,
,301,-,1.4,1.4,-,-,-,-,1.4,1.4,-,1.4,1.4,,,,,,,,,,,,,
,302,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,303,-,*,*,-,*,*,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,304,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,309,-,0.7,0.7,-,-,-,-,0.7,0.7,-,0.7,0.7,,,,,,,,,,,,,
31,,-,2.4,2.4,-,0.1,0.1,-,2.5,2.5,-,2.5,2.5,,,,,,,,,,,,,
,310,-,2.4,2.4,-,0.1,0.1,-,2.5,2.5,-,2.5,2.5,,,,,,,,,,,,,
32,,-,0.9,0.9,-,-,-,-,0.9,0.9,-,1.1,1.1,,,,,,,,,,,,,
,321,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,322,-,*,*,-,*,*,-,*,*,-,*,*,,,,,,,,,,,,,
,323,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,324,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,325,-,0.4,0.4,-,-,-,-,0.4,0.4,-,0.5,0.5,,,,,,,,,,,,,
,329,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.4,0.4,,,,,,,,,,,,,
33,,-,1.8,1.8,-,0.1,0.1,-,1.9,1.9,-,1.9,1.9,,,,,,,,,,,,,
,331,-,1.6,1.6,-,0.1,0.1,-,1.7,1.7,-,1.7,1.7,,,,,,,,,,,,,
,332,-,0.2,0.2,-,-,-,-,0.2,0.2,-,0.2,0.2,,,,,,,,,,,,,
35,,-,5.3,5.3,-,0.9,0.9,-,6.2,6.2,-,6.2,6.2,,,,,,,,,,,,,
,351,-,*,*,-,*,*,-,5.9,5.9,-,5.9,5.9,,,,,,,,,,,,,
,352,-,*,*,-,*,*,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
,353,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
36,,-,2.1,2.1,-,0.2,0.2,-,2.2,2.2,-,2.2,2.2,,,,,,,,,,,,,
,360,-,2.1,2.1,-,0.2,0.2,-,2.2,2.2,-,2.2,2.2,,,,,,,,,,,,,
37,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,370,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
38,,*,*,2.0,*,*,-,*,*,2.0,*,*,2.0,,,,,,,,,,,,,
,381,*,*,0.4,*,*,-,*,*,0.5,*,*,0.5,,,,,,,,,,,,,
,382,*,*,1.0,*,*,-,*,*,1.0,*,*,1.0,,,,,,,,,,,,,
,383,-,0.5,0.5,-,-,-,-,0.5,0.5,-,0.5,0.5,,,,,,,,,,,,,
39,,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
,390,-,0.1,0.1,-,-,-,-,0.1,0.1,-,0.1,0.1,,,,,,,,,,,,,
41,,*,*,13.1,*,*,1.9,*,*,15.0,*,*,16.2,,,,,,,,,,,,,
,411,-,0.4,0.4,-,0.1,0.1,-,0.4,0.4,-,0.4,0.4,,,,,,,,,,,,,
,412,*,*,12.8,*,*,1.9,*,*,14.6,0.4,15.4,15.8,,,,,,,,,,,,,
42,,*,*,6.4,*,*,0.3,*,*,6.7,*,*,6.7,,,,,,,,,,,,,
,421,*,*,1.5,*,*,0.2,0.4,1.3,1.7,0.4,1.3,1.7,,,,,,,,,,,,,
,422,-,1.0,1.0,-,-,-,-,1.0,1.0,-,1.0,1.0,,,,,,,,,,,,,
,429,*,*,3.9,*,*,0.1,*,*,4.0,*,*,4.1,,,,,,,,,,,,,
43,,-,25.1,25.1,-,3.1,3.1,-,28.3,28.3,-,31.2,31.2,,,,,,,,,,,,,
,431,-,0.3,0.3,-,-,-,-,0.3,0.3,-,0.3,0.3,,,,,,,,,,,,,
